,word,image_api,image,audio_api,audio,spelling,translation1,translation2,translation3,translation4,translation5,translation6
0,abandon,http://5.vndic.net/images/dict/a/abandon.gif,./Image/abandon.png,http://5.vndic.net/mp3.php?id=abandon&dir=957&lang=en&,./MP3/abandon.mp3,[ə'bændən],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'từ bỏ; bỏ rơi, ruồng bỏ', 'examples': [{'origin': 'to abandon a hope', 'meaning': 'từ bỏ hy vọng'}, {'origin': ""to abandon one's wife and children"", 'meaning': 'ruồng bỏ vợ con'}, {'origin': 'to abandon oneself to', 'meaning': 'đắm đuối, chìm đắm vào (nỗi thất vọng...)'}]}]}","{'type': 'danh từ', 'meanings': [{'meaning': 'sự phóng túng, sự tự do, sự buông thả', 'examples': [{'origin': 'with abandon', 'meaning': 'một cách phóng túng'}]}]}",,,,
1,ability,http://5.vndic.net/images/dict/a/ability.gif,./Image/ability.png,http://5.vndic.net/mp3.php?id=ability&dir=137&lang=en&,./MP3/ability.mp3,[ə'biliti],"{'type': 'danh từ', 'meanings': [{'meaning': 'khả năng hoặc năng lực làm cái gì về thể chất hoặc tinh thần', 'examples': [{'origin': 'professional ability', 'meaning': 'năng lực chuyên môn; năng lực nghiệp vụ'}, {'origin': 'a machine with the ability to cope with large loads', 'meaning': 'một cỗ máy có khả năng chịu những tải trọng lớn'}, {'origin': 'he has the ability to do the work', 'meaning': 'anh ta có khả năng làm việc này'}]}, {'meaning': 'sự khéo léo; trí thông minh', 'examples': [{'origin': 'a woman of great ability', 'meaning': 'một phụ nữ rất thông minh'}]}, {'meaning': 'tài năng', 'examples': [{'origin': 'to have a great musical ability', 'meaning': 'rất có tài về âm nhạc'}]}]}",,,,,
2,able,http://5.vndic.net/images/dict/a/able.gif,./Image/able.png,http://5.vndic.net/mp3.php?id=able&dir=287&lang=en&,./MP3/able.mp3,['eibl],"{'type': 'tính từ', 'meanings': [{'meaning': 'có năng lực; có tài; lành nghề', 'examples': [{'origin': 'an able co-op manager', 'meaning': 'một chủ nhiệm hợp tác xã có năng lực'}, {'origin': 'an able writer', 'meaning': 'một nhà văn có tài'}, {'origin': 'an able worker', 'meaning': 'một công nhân lành nghề'}, {'origin': 'the ablest/most able student in the class', 'meaning': 'sinh viên có khả năng nhất trong lớp'}, {'origin': 'to be able to do something', 'meaning': 'có thể làm được việc gì; có đủ tư cách/thẩm quyền làm việc gì'}, {'origin': 'the child is not yet able to write', 'meaning': 'đứa trẻ chưa biết viết'}, {'origin': 'will you be able to come?', 'meaning': 'bạn có thể đến được không?'}, {'origin': ""you're better able to do it than I (am)"", 'meaning': 'bạn có thể làm việc đó tốt hơn tôi'}]}]}","{'type': 'hậu tố', 'meanings': [{'meaning': 'có một tính cách nào đó', 'examples': [{'origin': 'Fashionable', 'meaning': 'hợp thời trang'}, {'origin': 'Comfortable', 'meaning': 'Thoải mái'}]}, {'meaning': 'Có thể, cần được', 'examples': [{'origin': 'Eatable', 'meaning': 'Có thể ăn được'}, {'origin': 'Perishable', 'meaning': 'Có thể bị diệt vong'}, {'origin': 'Payable', 'meaning': 'Cần được thanh toán'}]}]}",,,,
3,abortion,http://5.vndic.net/images/dict/a/abortion.gif,./Image/abortion.png,http://5.vndic.net/mp3.php?id=abortion&dir=810&lang=en&,./MP3/abortion.mp3,[ə'bɔ:∫n],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự sẩy thai, sự phá thai; sự nạo thai', 'examples': []}, {'meaning': 'người lùn tịt; đứa bé đẻ non, vật đẻ non; vật dị dạng, quái thai', 'examples': []}, {'meaning': 'sự chết non chết yểu, sự sớm thất bại (của một kế hoạch, ý đồ...)', 'examples': []}, {'meaning': '(sinh vật học) tình trạng phát triển không đầy đủ', 'examples': []}]}",,,,,
4,about/on one's person,,,,,thành ngữ person,,,,,,
5,above/beyond reproach,,,,,thành ngữ reproach,,,,,,
6,abroad,http://5.vndic.net/images/dict/a/abroad.gif,./Image/abroad.png,http://5.vndic.net/mp3.php?id=abroad&dir=598&lang=en&,./MP3/abroad.mp3,[ə'brɔ:d],"{'type': 'phó từ', 'meanings': [{'meaning': 'ở hoặc tới một nước hoặc nhiều nước ngoài; ở xa nước mình; ở nước ngoài; hải ngoại', 'examples': [{'origin': 'to live abroad', 'meaning': 'sống ở nước ngoài'}, {'origin': 'to go abroad', 'meaning': 'đi ra nước ngoài'}, {'origin': 'to travel abroad', 'meaning': 'đi du lịch nước ngoài'}]}, {'meaning': 'được lưu truyền rộng rãi', 'examples': [{'origin': 'there is a rumour abroad that...', 'meaning': 'khắp nơi đang có tin đồn rằng...'}, {'origin': 'the school matter is abroad', 'meaning': 'việc học hành bây giờ đang trở thành phổ biến'}]}, {'meaning': 'ngoài trời (đối với trong nhà)', 'examples': [{'origin': 'life abroad is very healthy', 'meaning': 'sống ở ngoài trời tốt cho sức khoẻ'}, {'origin': 'have you ventured abroad yet today?', 'meaning': 'hôm nay bạn đã liều đi ra ngoài chưa?'}]}, {'meaning': '(thông tục) nghĩ sai, nhầm, tưởng lầm', 'examples': [{'origin': 'to be all abroad', 'meaning': 'nghĩ sai hoàn toàn, hoàn toàn lầm lẫn'}]}]}",,,,,
7,absence,,,http://5.vndic.net/mp3.php?id=absence&dir=838&lang=en&,./MP3/absence.mp3,['æbsəns],"{'type': 'danh từ', 'meanings': [{'meaning': '(absence from something) sự không có mặt ở nơi nào đó', 'examples': [{'origin': 'his repeated absence from school is worrying', 'meaning': 'việc nó liên tiếp vắng mặt ở trường là rất đáng ngại'}, {'origin': 'it happened in/during your absence', 'meaning': 'việc đó xảy ra khi bạn vắng mặt'}, {'origin': ""in the absence of the manager, I'll be in charge"", 'meaning': 'trong khi ông giám đốc vắng mặt, tôi sẽ đảm nhận công việc'}, {'origin': 'absence without leave', 'meaning': 'sự vắng mặt không xin phép'}]}, {'meaning': 'cơ hội hoặc thời gian ở xa', 'examples': [{'origin': 'numerous absences from work', 'meaning': 'nhiều lần vắng mặt ở cơ quan'}, {'origin': 'throughout his long absence', 'meaning': 'suốt thời gian dài ông ấy vắng mặt'}, {'origin': 'after an absence of three months', 'meaning': 'sau một thời gian vắng mặt ba tháng'}]}, {'meaning': 'sự thiếu, sự không có', 'examples': [{'origin': 'to carry out production in the absence of necessary machines', 'meaning': 'sản xuất trong tình trạng thiếu những máy móc cần thiết'}, {'origin': 'absence of mind', 'meaning': 'sự lơ đãng; sự đãng trí'}, {'origin': 'the absence of definite proof', 'meaning': 'sự thiếu chứng cứ xác định'}]}]}",,,,,
8,absolute,,,http://5.vndic.net/mp3.php?id=absolute&dir=36&lang=en&,./MP3/absolute.mp3,['æbsəlu:t],"{'type': 'tính từ', 'meanings': [{'meaning': 'tuyệt đối, hoàn toàn; thuần tuý, nguyên chất', 'examples': [{'origin': ""absolute confidence in the Party's leadership"", 'meaning': 'sự tin tưởng tuyệt đối vào sự lãnh đạo của Đảng'}, {'origin': 'absolute music', 'meaning': 'âm nhạc thuần tuý'}, {'origin': 'absolute alcohol', 'meaning': 'rượu nguyên chất'}]}, {'meaning': 'chuyên chế, độc đoán', 'examples': [{'origin': 'absolute monarchy', 'meaning': 'nền quân chủ chuyên chế'}]}, {'meaning': 'xác thực, đúng sự thực, chắc chắn', 'examples': [{'origin': 'absolute evidence', 'meaning': 'chứng cớ xác thực'}]}, {'meaning': 'vô điều kiện', 'examples': [{'origin': 'an absolute promise', 'meaning': 'lời hứa vô điều kiện'}]}]}",,,,,
9,absolutely,http://5.vndic.net/images/dict/a/absolutely.gif,./Image/absolutely.png,http://5.vndic.net/mp3.php?id=absolutely&dir=363&lang=en&,./MP3/absolutely.mp3,['æbsəlu:tli],"{'type': 'phó từ', 'meanings': [{'meaning': 'tuyệt đối, hoàn toàn', 'examples': [{'origin': 'to be absolutely wrong', 'meaning': 'hoàn toàn sai lầm, hoàn toàn trái'}]}, {'meaning': 'chuyên chế, độc đoán', 'examples': [{'origin': 'to govern absolutely', 'meaning': 'cai trị một cách chuyên chế'}]}, {'meaning': 'vô điều kiện', 'examples': []}, {'meaning': '(thông tục) nhất định, chắc chắn; tất nhiên; hoàn toàn như vậy, đúng như vậy', 'examples': []}]}",,,,,
10,absorb,http://5.vndic.net/images/dict/a/absorb.gif,./Image/absorb.png,http://5.vndic.net/mp3.php?id=absorb&dir=75&lang=en&,./MP3/absorb.mp3,[əb'sɔ:b],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'hút, hút thu (nước)', 'examples': [{'origin': 'dry sand absorbs water', 'meaning': 'cát khô hút nước'}]}, {'meaning': 'hấp thu', 'examples': [{'origin': 'youths always absorb new ideas', 'meaning': 'thanh niên luôn luôn hấp thu những tư tưởng mới'}]}, {'meaning': 'miệt mài, mê mải, chăm chú; lôi cuốn, thu hút sự chú ý', 'examples': [{'origin': 'to be absorbed in thought', 'meaning': 'mãi suy nghĩ'}, {'origin': 'to be absorbed in the study of Marxism-Leninism', 'meaning': 'miệt mài nghiên cứu chủ nghĩa Mác-Lênin'}]}]}",,,,,
